subjectID,HIP-rh,AMY-rh,pTHA-rh,aTHA-rh,NAc-rh,GP-rh,PUT-rh,CAU-rh,HIP-lh,AMY-lh,pTHA-lh,aTHA-lh,NAc-lh,GP-lh,PUT-lh,CAU-lh
sub-IXI322,0.6879138,0.6527203,0.47709614,0.50153524,0.75630164,0.09044221,0.616352,0.60424316,0.6388492,0.60055304,0.47845045,0.55063355,0.798562,0.027935969,0.5085762,0.724498
sub-IXI364,0.49203807,0.55151623,0.30601326,0.3323722,0.47832566,0.085662045,0.4154051,0.36605808,0.49285886,0.5367492,0.2985174,0.33880296,0.49923497,0.03537685,0.41802773,0.39777905
sub-IXI211,0.62537956,0.7005986,0.33219975,0.23972756,0.6660833,0.1317002,0.46293837,0.49190053,0.60235006,0.6882411,0.34544244,0.277986,0.6818194,0.0813286,0.47615826,0.5259653
sub-IXI110,0.62604684,0.665419,0.48990133,0.42557544,0.56090224,0.13783048,0.54974675,0.4500458,0.61669475,0.65784144,0.487471,0.46348098,0.57936853,0.072404765,0.5102861,0.48076716
sub-IXI371,0.5478491,0.48209506,0.3870242,0.42239922,0.5084373,0.06459705,0.43785042,0.4198137,0.5040201,0.44430047,0.43196046,0.49300602,0.5607572,0.017295552,0.36120394,0.507256
sub-IXI328,0.47394794,0.54197574,0.36025655,0.3561112,0.48484263,0.10485066,0.49689153,0.40028316,0.478366,0.5721138,0.41431826,0.3781982,0.44000858,0.05199941,0.46697888,0.43208158
sub-IXI029,0.55959064,0.54467905,0.4079905,0.5002199,0.5427738,0.11922526,0.43570155,0.4698362,0.5390905,0.5547129,0.4391705,0.52917033,0.61349446,0.10946534,0.3983165,0.5426662
sub-IXI302,0.5335129,0.60278136,0.34150508,0.3603872,0.5206987,0.094656,0.45780647,0.41718003,0.55288815,0.6031307,0.3692823,0.36080638,0.49661323,0.04653301,0.44187304,0.46341634
sub-IXI639,0.48187798,0.6149795,0.2831691,0.26447564,0.5108971,0.1215131,0.47285184,0.4585223,0.5418757,0.6137639,0.3721297,0.2929718,0.57228374,0.08515733,0.4806236,0.49310237
sub-IXI538,0.47459033,0.53167737,0.32535863,0.31507674,0.5043524,0.14541343,0.4618446,0.43455186,0.441851,0.45245287,0.37600315,0.36516914,0.5004433,0.07091192,0.45953315,0.44765684
sub-IXI224,0.5443957,0.5700787,0.369012,0.3183217,0.52168006,0.117799096,0.45689633,0.4079736,0.5433037,0.58042544,0.39208856,0.3628828,0.5517544,0.062295374,0.4464645,0.48477352
sub-IXI561,0.52357763,0.5303674,0.34716472,0.4019754,0.511961,0.05893757,0.41891465,0.40532508,0.5550682,0.54290557,0.368543,0.44873172,0.5085942,0.005734006,0.32984093,0.44636872
sub-IXI050,0.6034734,0.7041606,0.37218118,0.44623327,0.6291734,0.15215062,0.5022287,0.5074404,0.5859791,0.6991045,0.49744597,0.43400773,0.6748574,0.068266235,0.5903665,0.62930197
sub-IXI452,0.49029386,0.5204283,0.3752564,0.40406176,0.5163163,0.08979017,0.5257483,0.45407805,0.50638646,0.52748567,0.400836,0.41318548,0.48942313,0.06419167,0.45751384,0.49008164
sub-IXI391,0.60606503,0.7175353,0.37982157,0.46284556,0.5709749,0.09055498,0.42727658,0.4035588,0.5996376,0.6950095,0.414228,0.45427528,0.591921,0.028900739,0.37067702,0.44922
sub-IXI176,0.56909764,0.67638546,0.40430754,0.42932656,0.72316915,0.14150879,0.55393946,0.52620643,0.5915313,0.69864357,0.4172813,0.49972495,0.7323077,0.065352656,0.55344546,0.59830153
sub-IXI231,0.5413235,0.60356486,0.3744924,0.4984793,0.53782743,0.19659786,0.46098974,0.43879902,0.6017544,0.55920637,0.4148552,0.55108964,0.59141654,0.14844799,0.37210605,0.47447342
sub-IXI169,0.5842288,0.6258956,0.39272368,0.45499802,0.52305347,0.09053118,0.42858985,0.46362206,0.59425014,0.64259756,0.42887032,0.43551815,0.56031144,0.06814455,0.41310197,0.53727794
sub-IXI492,0.47084418,0.58883536,0.25875503,0.25884202,0.5214336,0.14334883,0.44023132,0.38940907,0.49526674,0.598068,0.34500322,0.3442244,0.55158675,0.08271504,0.42164615,0.4395601
sub-IXI532,0.6454531,0.6108485,0.46613583,0.49431038,0.55159545,0.06196128,0.4817129,0.5071591,0.6276614,0.61343694,0.47255194,0.50839317,0.6114947,0.015809562,0.3864016,0.5820805
sub-IXI470,0.81627333,0.8677419,0.49768573,0.56930494,0.87832487,0.10571465,0.6549153,0.7019453,0.82702214,0.79943436,0.4573623,0.51768994,0.98067033,0.030664833,0.5805907,0.81105894
sub-IXI034,0.5902094,0.64430416,0.41204053,0.36629182,0.611419,0.117687315,0.46225506,0.5226352,0.60577047,0.6325139,0.40473977,0.37805793,0.65838915,0.066639066,0.46532205,0.6109726
sub-IXI373,0.5068247,0.5207192,0.33650774,0.39688054,0.4802903,0.07963612,0.45060843,0.39329773,0.4843732,0.48565513,0.36861634,0.42641744,0.54975396,0.03135236,0.35035902,0.462887
sub-IXI596,0.61070526,0.63747376,0.43410668,0.47264764,0.62923276,0.07421287,0.50420576,0.49471405,0.5891368,0.588948,0.4757604,0.53594387,0.72008187,0.01301051,0.3837564,0.56215775
sub-IXI112,0.4949623,0.681407,0.4801297,0.46575543,0.6735349,0.14866559,0.65195805,0.60076386,0.54641324,0.6786758,0.4774193,0.48848808,0.68498516,0.089321606,0.5856975,0.65625155
sub-IXI213,0.5097177,0.5613561,0.35864344,0.40223002,0.61627936,0.099587485,0.46137077,0.39542946,0.4830383,0.56593055,0.39854524,0.43650043,0.6418796,0.05346855,0.45163864,0.468794
sub-IXI423,0.72212553,0.7350001,0.45439124,0.5030785,0.73877543,0.07326492,0.5390297,0.57020456,0.7158189,0.641814,0.47396842,0.5552545,0.7487749,0.012075402,0.44930935,0.633393
sub-IXI078,0.579772,0.6630285,0.3895309,0.38421655,0.6521027,0.13914572,0.5859303,0.49852288,0.55776036,0.644903,0.4102085,0.38608247,0.67069966,0.08003739,0.5342552,0.59702253
sub-IXI067,0.6501463,0.7569576,0.42249393,0.4023299,0.7897864,0.12304516,0.58606476,0.606059,0.6663295,0.7496576,0.44419545,0.43905193,0.8198122,0.079318635,0.558123,0.69462186
sub-IXI141,0.5378127,0.63543355,0.43119413,0.41789734,0.54451245,0.15993026,0.48099023,0.45556086,0.53444415,0.6105185,0.4735464,0.41654503,0.54969096,0.071674116,0.45749208,0.50006956
sub-IXI642,0.6298054,0.6957459,0.5050447,0.45482203,0.59329426,0.120983064,0.5419542,0.4647318,0.68090624,0.80887944,0.5211608,0.5003016,0.6237721,0.06742162,0.5155038,0.519355
sub-IXI490,0.49425405,0.5489581,0.38957256,0.4516961,0.46002832,0.050646454,0.36185417,0.38493583,0.4810444,0.5623433,0.41392696,0.45130378,0.49086776,0.017676037,0.37204254,0.4522112
sub-IXI092,0.59004945,0.6933839,0.4187572,0.45572114,0.7113893,0.16042021,0.5715511,0.52725464,0.5889086,0.71351236,0.43780667,0.4365678,0.7022001,0.08536766,0.574752,0.58116174
sub-IXI174,0.45498475,0.56356627,0.32247663,0.3591461,0.4991286,0.11866466,0.35804278,0.4130122,0.45107472,0.5258913,0.3550068,0.39995998,0.5124309,0.056488033,0.3435965,0.42503732
sub-IXI233,0.51691806,0.49871838,0.37410608,0.40570164,0.5208331,0.08578169,0.47996286,0.42429373,0.48384863,0.4565582,0.39423177,0.4697058,0.56874764,0.028401226,0.37194604,0.49950936
sub-IXI393,0.49604076,0.57559663,0.39203447,0.39507398,0.5750751,0.09162153,0.50313973,0.47001383,0.49921075,0.57152194,0.37275204,0.36540088,0.5672343,0.05532085,0.47880465,0.55047446
sub-IXI576,0.49797288,0.53606737,0.35513785,0.42200905,0.51835364,0.12944171,0.45250902,0.4498535,0.48384288,0.52737314,0.38985926,0.38467908,0.5062878,0.0788956,0.40798023,0.44994304
sub-IXI353,0.5008498,0.6059896,0.34395844,0.3457748,0.55026394,0.15093304,0.4361558,0.4259605,0.4915268,0.5707433,0.37409618,0.3509995,0.499104,0.08613481,0.38998377,0.39843428
sub-IXI138,0.61571926,0.6681011,0.45892674,0.4145998,0.6268762,0.105591975,0.5402815,0.5531049,0.6038659,0.63159204,0.4575635,0.4234379,0.662809,0.044857867,0.4980012,0.62419885
sub-IXI563,0.56980526,0.58913136,0.4197121,0.5268475,0.5856117,0.049973972,0.43280616,0.4872423,0.5521749,0.55741423,0.46304476,0.5777909,0.6409708,0.0067107375,0.34965298,0.55811876
sub-IXI239,0.5135616,0.567996,0.33888763,0.39706618,0.5163936,0.109801464,0.49080667,0.430977,0.5001309,0.55529517,0.44921222,0.42071342,0.53802794,0.047582906,0.44006318,0.46797377
sub-IXI127,0.5805855,0.6630815,0.3773325,0.4081725,0.6688001,0.13793033,0.48011684,0.5099671,0.58239156,0.6617212,0.3940888,0.3859225,0.6774729,0.069633126,0.49113706,0.53790474
sub-IXI451,0.5606508,0.67827535,0.45401117,0.45868877,0.59009534,0.089265555,0.48886025,0.44487056,0.57916886,0.6756019,0.4604866,0.4048935,0.5899174,0.03610955,0.45480016,0.49489444
sub-IXI053,0.5725847,0.6921115,0.39559487,0.46891916,0.6308468,0.11037715,0.51086766,0.47014093,0.5962838,0.6884527,0.48988104,0.5367494,0.60809124,0.06245239,0.45437208,0.549009
sub-IXI175,0.49341536,0.4954746,0.34947792,0.34645852,0.5124959,0.14694847,0.39665437,0.40133077,0.46603003,0.43045732,0.30693382,0.30418673,0.49388513,0.08420192,0.35611024,0.3455219
sub-IXI232,0.55597466,0.55779237,0.4236858,0.519045,0.60694987,0.07801412,0.5334372,0.46375424,0.55547494,0.49976352,0.47940415,0.5677703,0.58903927,0.011746203,0.39207247,0.5232094
sub-IXI392,0.61009514,0.70002127,0.43116423,0.45138353,0.55324495,0.09620845,0.41897568,0.46027303,0.60552055,0.6532148,0.4582336,0.41224736,0.5965951,0.04880205,0.3816758,0.514893
sub-IXI093,0.55799043,0.61020803,0.3181077,0.27852374,0.65429294,0.08720765,0.49546015,0.50549895,0.5680154,0.61597776,0.36138055,0.339717,0.63594013,0.06563878,0.4943835,0.5380986
sub-IXI568,0.47125283,0.56963784,0.3309115,0.3546335,0.5707542,0.09302663,0.47059944,0.43652773,0.48639825,0.5555765,0.42521042,0.37430835,0.4884315,0.03749565,0.4411067,0.49308
sub-IXI491,0.48863965,0.5567415,0.3994128,0.4482107,0.5033333,0.12814818,0.49017483,0.39419097,0.48312718,0.53705245,0.39967424,0.38945207,0.50312644,0.066771485,0.44979274,0.42286384
sub-IXI126,0.6841934,0.7717873,0.3787607,0.3844676,0.68118066,0.10983074,0.59221673,0.5173512,0.67997897,0.76419806,0.41850495,0.35385278,0.70259535,0.052790802,0.5346022,0.6017038
sub-IXI139,0.5956363,0.7512981,0.39501852,0.344967,0.7056008,0.15004173,0.56502575,0.5450572,0.60747015,0.7319988,0.4459343,0.4114838,0.7300243,0.084735595,0.5426291,0.59914595
sub-IXI227,0.52172357,0.5551221,0.41900912,0.4829948,0.57806385,0.17901339,0.5034744,0.45122397,0.5134276,0.5344528,0.45639083,0.5147054,0.5860997,0.0852329,0.44656396,0.5035306
sub-IXI212,0.4847295,0.5873078,0.31268075,0.35456553,0.6427111,0.16106345,0.4935024,0.46289513,0.49760035,0.6001545,0.3618898,0.35937506,0.60530895,0.05303804,0.4592192,0.5124638
sub-IXI511,0.5025392,0.5288339,0.32172137,0.37059155,0.53027976,0.093860224,0.42598838,0.42381474,0.47490415,0.5230734,0.39912698,0.3972433,0.48862568,0.035701398,0.42343038,0.43701354
sub-IXI113,0.54570645,0.6036141,0.36333323,0.31497416,0.5545429,0.081900984,0.46435335,0.3858271,0.51829743,0.61887884,0.35581228,0.37673,0.55223393,0.030603226,0.43699273,0.45017907
sub-IXI548,0.46858245,0.45388997,0.31745976,0.41076338,0.50072247,0.05506868,0.39400676,0.44528282,0.4655844,0.40567818,0.3596348,0.43352976,0.48768464,0.012823772,0.33497542,0.4525792
sub-IXI597,0.5312528,0.5488614,0.36106297,0.466341,0.5686833,0.07297931,0.45953614,0.40006927,0.54507846,0.5119177,0.39637586,0.527126,0.5643707,0.020534825,0.36276102,0.4732502
sub-IXI372,0.67009217,0.76201427,0.46908018,0.556525,0.7729958,0.08469345,0.5887616,0.5825465,0.6845676,0.7213059,0.51506466,0.61555856,0.8054724,0.016660042,0.50127214,0.6375596
sub-IXI294,0.54576695,0.5312693,0.38905355,0.46101043,0.54880345,0.093597494,0.46749276,0.42568213,0.53231233,0.50076044,0.44762322,0.5124541,0.55339485,0.020029834,0.33347082,0.47647217
sub-IXI140,0.5421454,0.6048934,0.40733132,0.4431764,0.66225904,0.122776724,0.52223074,0.50351834,0.54744476,0.6047951,0.433561,0.435926,0.6551552,0.062393386,0.5069895,0.61172223
sub-IXI582,0.58883786,0.72817945,0.47741315,0.4424091,0.71125376,0.10251387,0.55950284,0.5157559,0.58541685,0.69368,0.52477765,0.5282004,0.7356385,0.040771563,0.54489595,0.59239244
sub-IXI180,0.63610846,0.6609596,0.46271157,0.4198644,0.55891776,0.09145976,0.48450807,0.4180514,0.6261308,0.68682647,0.5122795,0.4755218,0.5583647,0.031428367,0.42935777,0.47478676
sub-IXI367,0.60179305,0.7203473,0.4226715,0.41831765,0.6299056,0.15685514,0.49861372,0.47974283,0.6081026,0.68745697,0.4986326,0.4632686,0.6217874,0.0699865,0.46235427,0.56328815
sub-IXI418,0.5474823,0.61678195,0.36793384,0.44129056,0.5892754,0.1221377,0.45414218,0.4649518,0.53302467,0.6092177,0.41191316,0.4658347,0.59226114,0.04503052,0.42030892,0.51247233
sub-IXI382,0.58493894,0.58947504,0.405494,0.5372092,0.56250554,0.053060964,0.4180026,0.4178564,0.5992761,0.59626275,0.46683523,0.5625124,0.61014956,0.008541071,0.34985977,0.51283216
sub-IXI222,0.49528638,0.5374693,0.47059527,0.48480684,0.53974223,0.076626405,0.4707028,0.41920757,0.47817373,0.5347028,0.5142755,0.5035445,0.55901325,0.032612104,0.43450046,0.4549374
sub-IXI348,0.47879067,0.60880744,0.35071895,0.2870606,0.60252696,0.07443932,0.47814935,0.48990148,0.48113212,0.5686593,0.35986233,0.28307542,0.6151334,0.03849071,0.45164937,0.563477
sub-IXI357,0.5311342,0.6460931,0.28933924,0.2995005,0.666537,0.1889553,0.5314988,0.47006607,0.5454395,0.6362512,0.34476632,0.29263002,0.5596614,0.06204668,0.47603795,0.49843606
sub-IXI049,0.65165085,0.7033878,0.4404432,0.3277954,0.7051736,0.13587302,0.5776205,0.5688575,0.650622,0.7292674,0.3960899,0.33401364,0.7037265,0.084451206,0.55712616,0.6058834
sub-IXI096,0.63580364,0.71080613,0.42037308,0.37971294,0.6857519,0.10911508,0.53472763,0.57508457,0.6554532,0.75919443,0.46589914,0.42595255,0.672214,0.05749814,0.53751403,0.6212513
sub-IXI494,0.61484104,0.6950937,0.41483733,0.54005945,0.60573006,0.1372553,0.4964202,0.45486194,0.6132194,0.6248349,0.48485976,0.52361804,0.68314147,0.07023478,0.49998313,0.4771591
sub-IXI089,0.60156566,0.6033583,0.39849463,0.37581113,0.5449634,0.09179731,0.42953318,0.43685296,0.5602556,0.603217,0.41026253,0.3535127,0.598341,0.050363764,0.4247553,0.5028303
sub-IXI397,0.4690636,0.5439359,0.32480267,0.30450174,0.514828,0.13026279,0.39786237,0.4301523,0.46831968,0.54698837,0.3276881,0.33226255,0.5283467,0.051732212,0.39231443,0.48259193
sub-IXI145,0.5844445,0.6921977,0.38064346,0.4256655,0.55758995,0.090260416,0.5050762,0.44337305,0.6043627,0.67306525,0.48405913,0.44995397,0.5801502,0.031127313,0.43677616,0.5001999
sub-IXI558,0.56084454,0.5618037,0.45713416,0.49715024,0.580943,0.14958733,0.4485647,0.47444716,0.5513457,0.55499274,0.502766,0.47389752,0.6098366,0.10366191,0.45442733,0.5126018
sub-IXI587,0.6587134,0.82201576,0.42548922,0.34011808,0.73779285,0.12642586,0.6013687,0.6205999,0.6765307,0.7601332,0.41943008,0.3553243,0.77402276,0.06664559,0.5709025,0.7326708
sub-IXI427,0.74423647,0.72134715,0.46393758,0.4315473,0.87427056,0.08277519,0.6220659,0.55943143,0.71793586,0.71501255,0.50300217,0.5057101,0.9239464,0.02172787,0.5583409,0.6932458
sub-IXI598,0.5196887,0.61555564,0.33317417,0.36497033,0.5381269,0.12845598,0.46752182,0.41282967,0.5499881,0.63711435,0.41350144,0.43321797,0.519599,0.09887581,0.46908414,0.4401334
sub-IXI461,0.5029974,0.6485724,0.421136,0.47676325,0.5569815,0.12756743,0.46085724,0.43217462,0.5035422,0.6117473,0.46216586,0.44764984,0.5903918,0.06882846,0.45508152,0.4941761
sub-IXI208,0.5881809,0.66827357,0.40196678,0.42734313,0.59629273,0.1179243,0.5192724,0.56205785,0.5787953,0.6669015,0.43628362,0.5009594,0.66090107,0.07114857,0.50872225,0.63900226
sub-IXI116,0.5478123,0.6749049,0.49289393,0.39174563,0.690015,0.1276737,0.5825252,0.5119557,0.54589534,0.63137686,0.4362157,0.36913607,0.6695411,0.061712254,0.5518134,0.59944415
sub-IXI217,0.57108116,0.62876445,0.35417885,0.40045902,0.56043506,0.102786615,0.4627028,0.43618125,0.5861385,0.63866216,0.42690787,0.41474158,0.54217243,0.04959466,0.4474031,0.47637194
sub-IXI291,0.57743263,0.58351475,0.40955326,0.47714156,0.7276685,0.0653156,0.54509485,0.5454667,0.5902816,0.54027045,0.43785742,0.51066583,0.71861196,0.011685528,0.426154,0.59532046
sub-IXI474,0.5731965,0.61141384,0.3881432,0.43518102,0.6692183,0.07239567,0.5682756,0.48766488,0.57032067,0.5736025,0.43445256,0.48024583,0.68769026,0.013828247,0.4740491,0.5483433
sub-IXI432,0.61480045,0.7393868,0.3281756,0.3058309,0.6819458,0.0886429,0.5237332,0.5753934,0.61212546,0.7722622,0.33384454,0.30458462,0.72084105,0.04808408,0.48541066,0.58879226
sub-IXI460,0.47339553,0.57000834,0.44450507,0.48502272,0.51235855,0.097361915,0.4397594,0.37188762,0.47021395,0.5575873,0.47411507,0.45670572,0.52616805,0.052166488,0.38833636,0.44159058
sub-IXI285,0.62328124,0.72634125,0.47735962,0.5097919,0.6648655,0.21795616,0.56763005,0.50580096,0.6363401,0.71088076,0.5530051,0.51526845,0.6547286,0.11417967,0.52844673,0.5751298
sub-IXI599,0.691017,0.8577841,0.35458753,0.3511736,0.7724093,0.15042263,0.6324132,0.64576954,0.72182053,0.8641159,0.39975786,0.39183885,0.8286888,0.13977809,0.6414998,0.7010305
sub-IXI426,0.68654233,0.72019917,0.504923,0.60563,0.7286821,0.09091642,0.5864558,0.54104936,0.6722448,0.6463781,0.52866656,0.64851415,0.7556167,0.013114822,0.46944287,0.5994695
sub-IXI546,0.5035548,0.56068647,0.36042675,0.3911917,0.518897,0.11457674,0.48190722,0.44735193,0.50639296,0.5832747,0.39364323,0.40235257,0.50945795,0.0541374,0.4455154,0.4716818
sub-IXI144,0.556592,0.62140465,0.39894652,0.4552261,0.6229725,0.11673311,0.4981045,0.511082,0.5447251,0.604402,0.41161975,0.45496228,0.6565105,0.061419554,0.45708922,0.6063917
sub-IXI475,0.60646933,0.6364613,0.40142727,0.44658104,0.7000214,0.066630445,0.5447467,0.52827305,0.63948923,0.5747693,0.44948232,0.46899134,0.7336327,0.00951818,0.43674973,0.60766506
sub-IXI290,0.56288487,0.58422685,0.36976048,0.41795886,0.61975133,0.07719481,0.53833574,0.44396475,0.53215796,0.5059219,0.3928372,0.43695337,0.6100502,0.007264923,0.4097104,0.53538793
sub-IXI330,0.6703222,0.70563596,0.4921684,0.4603983,0.6235954,0.124174215,0.53246677,0.4696132,0.6878437,0.71409637,0.51133806,0.50433826,0.63342106,0.050957438,0.49364632,0.5242838
sub-IXI216,0.5141501,0.64271903,0.33170068,0.3683888,0.5933969,0.0996744,0.48216435,0.49012712,0.51953596,0.61975235,0.36296615,0.40380263,0.6270851,0.04509932,0.46410322,0.53042674
sub-IXI117,0.58033115,0.59709835,0.36005726,0.3190691,0.50476426,0.07329747,0.39708263,0.4227326,0.53668815,0.5728893,0.39818075,0.39603528,0.57088345,0.042722546,0.3790378,0.46548784
sub-IXI515,0.47537965,0.55982304,0.31476283,0.407706,0.5748437,0.14629954,0.49514922,0.47284406,0.4996877,0.5789995,0.37188444,0.41217965,0.59607404,0.07425893,0.4918963,0.5149756
sub-IXI209,0.6006085,0.65411556,0.34989572,0.34511715,0.61936545,0.15326372,0.50757575,0.4396665,0.589508,0.6399799,0.36886936,0.3649577,0.6414487,0.07149685,0.48650372,0.49006566
sub-IXI223,0.60519964,0.6797015,0.4692118,0.5240397,0.52609175,0.085012205,0.44326892,0.429665,0.5918557,0.66039884,0.4889909,0.5047045,0.57676226,0.037969504,0.43460864,0.48426324
sub-IXI419,0.49866143,0.6059902,0.38630176,0.47292736,0.4995291,0.14384373,0.4293744,0.39140517,0.50687236,0.59026945,0.45368284,0.49321622,0.53560656,0.08785167,0.39752385,0.4199251
sub-IXI088,0.5430299,0.63033277,0.38323635,0.37987316,0.62534803,0.116476595,0.4938682,0.47433975,0.5446981,0.63624656,0.4148491,0.43002355,0.6076379,0.048024528,0.4761161,0.5563385
sub-IXI495,0.5081751,0.6001551,0.33991665,0.375522,0.5609294,0.2246828,0.4316812,0.46089348,0.5330999,0.55855834,0.30940485,0.33308968,0.5976176,0.1523909,0.4158847,0.5227428
sub-IXI270,0.63040954,0.63763463,0.45145783,0.4545532,0.4868007,0.06696103,0.35574555,0.35662103,0.5953761,0.57754797,0.4855012,0.43014118,0.5013133,0.038898714,0.3335319,0.3822227
sub-IXI097,0.62928283,0.7023476,0.37383378,0.4007922,0.6873159,0.12535983,0.5925506,0.5115619,0.6192328,0.69908667,0.38167506,0.41077298,0.70989627,0.07732952,0.57460326,0.57991993
sub-IXI048,0.62283117,0.72887313,0.35264176,0.3204668,0.73112744,0.142263,0.46951815,0.5419857,0.6666597,0.72006,0.34404442,0.35508537,0.70396745,0.0727927,0.49421427,0.5694799
sub-IXI356,0.47057527,0.5667099,0.25491133,0.3009572,0.56093925,0.22096543,0.45512873,0.4256799,0.50348526,0.5212719,0.32035854,0.37747338,0.57831115,0.093034334,0.4463417,0.48220432
sub-IXI115,0.5175739,0.60373074,0.48459327,0.46939796,0.55549407,0.10017802,0.48663014,0.4478754,0.50156116,0.5982005,0.45287517,0.44211516,0.52548397,0.035248246,0.43443346,0.47864163
sub-IXI609,0.59553796,0.6652882,0.40334004,0.3452626,0.62048405,0.13096231,0.50979805,0.46801895,0.6050356,0.6844524,0.47820517,0.36209828,0.601997,0.056508128,0.47169474,0.5173045
sub-IXI616,0.50793624,0.6116312,0.37100014,0.39862317,0.5616635,0.12289677,0.46173197,0.45613202,0.514161,0.59985197,0.3779226,0.3487489,0.5924239,0.062234465,0.41996655,0.48214954
sub-IXI214,0.58140093,0.6856034,0.4647928,0.4894344,0.5891456,0.118046224,0.5065382,0.47574493,0.5908491,0.6875105,0.50192195,0.5157534,0.6131206,0.05071546,0.47498965,0.5238605
sub-IXI477,0.5225167,0.57976615,0.338227,0.44797498,0.57382023,0.05717082,0.40106514,0.43246087,0.5413293,0.55692446,0.3956662,0.49935064,0.62000054,0.010546677,0.3483349,0.5036991
sub-IXI292,0.5845402,0.5740983,0.39199606,0.48311046,0.55755055,0.061110128,0.46984297,0.46696684,0.5885875,0.52494067,0.4398081,0.57085663,0.63946044,0.012995531,0.35722464,0.54605824
